date,humidity_missing,imputation
2023-01-19 00:00:00,1.73,-23.54
2023-01-19 01:00:00,1.86,-40.03
2023-01-19 02:00:00,1.74,-15.50
2023-01-19 03:00:00,1.82,-12.26
2023-01-19 04:00:00,2.01,-41.20
2023-01-19 05:00:00,1.88,-23.52
2023-01-19 06:00:00,1.89,-38.19
2023-01-19 07:00:00,1.94,-40.22
2023-01-19 08:00:00,1.91,-27.11
2023-01-19 09:00:00,,1.86
2023-01-19 10:00:00,,1.89
2023-01-19 11:00:00,,1.89
2023-01-19 12:00:00,1.92,-35.77
2023-01-19 13:00:00,1.92,1.85
2023-01-19 14:00:00,1.88,-31.53
2023-01-19 15:00:00,1.82,1.77
2023-01-19 16:00:00,,1.72
2023-01-19 17:00:00,,1.68
2023-01-19 18:00:00,1.58,-11.76
2023-01-19 19:00:00,,1.65
2023-01-19 20:00:00,1.53,1.67
2023-01-19 21:00:00,,1.71
2023-01-19 22:00:00,1.72,-12.84
2023-01-19 23:00:00,1.80,-29.87
2023-01-20 00:00:00,1.80,-32.34
2023-01-20 01:00:00,,1.81
2023-01-20 02:00:00,1.80,-23.90
2023-01-20 03:00:00,1.86,-22.99
2023-01-20 04:00:00,1.78,-9.51
2023-01-20 05:00:00,1.83,-15.26
2023-01-20 06:00:00,1.92,-34.87
2023-01-20 07:00:00,1.98,-39.49
2023-01-20 08:00:00,,1.91
2023-01-20 09:00:00,1.88,-35.09
2023-01-20 10:00:00,2.09,-45.72
2023-01-20 11:00:00,1.82,-9.03
2023-01-20 12:00:00,1.94,-33.89
2023-01-20 13:00:00,,1.84
2023-01-20 14:00:00,1.75,-12.60
2023-01-20 15:00:00,1.83,-40.27
2023-01-20 16:00:00,1.59,-7.84
2023-01-20 17:00:00,1.54,-1.45
2023-01-20 18:00:00,1.49,-12.34
2023-01-20 19:00:00,1.59,-2.06
2023-01-20 20:00:00,1.70,-26.42
2023-01-20 21:00:00,1.73,-27.28
2023-01-20 22:00:00,1.79,1.71
2023-01-20 23:00:00,1.69,-14.09
2023-01-21 00:00:00,1.80,-20.50
2023-01-21 01:00:00,1.79,-26.52
2023-01-21 02:00:00,,1.82
2023-01-21 03:00:00,1.85,-22.25
2023-01-21 04:00:00,,1.92
2023-01-21 05:00:00,2.06,-53.55
2023-01-21 06:00:00,1.95,-28.19
2023-01-21 07:00:00,2.05,-63.73
2023-01-21 08:00:00,,1.98
2023-01-21 09:00:00,2.06,-73.29
2023-01-21 10:00:00,2.08,1.91
2023-01-21 11:00:00,,1.87
2023-01-21 12:00:00,1.88,-39.69
2023-01-21 13:00:00,1.83,-38.97
2023-01-21 14:00:00,1.80,1.80
2023-01-21 15:00:00,1.75,-28.69
2023-01-21 16:00:00,1.74,-23.27
2023-01-21 17:00:00,1.81,-33.29
2023-01-21 18:00:00,1.84,-40.50
2023-01-21 19:00:00,1.69,-18.85
2023-01-21 20:00:00,1.82,-29.45
2023-01-21 21:00:00,1.57,-7.56
2023-01-21 22:00:00,1.64,-8.28
2023-01-21 23:00:00,,1.78
2023-01-22 00:00:00,,1.76
2023-01-22 01:00:00,1.74,1.75
2023-01-22 02:00:00,,1.75
2023-01-22 03:00:00,1.71,-4.52
2023-01-22 04:00:00,,1.81
2023-01-22 05:00:00,1.85,-33.93
2023-01-22 06:00:00,1.65,-15.88
2023-01-22 07:00:00,1.70,-9.53
2023-01-22 08:00:00,1.79,1.83
2023-01-22 09:00:00,,1.80
2023-01-22 10:00:00,1.68,-2.09
2023-01-22 11:00:00,,1.75
2023-01-22 12:00:00,1.75,-20.97
2023-01-22 13:00:00,1.62,-3.07
2023-01-22 14:00:00,,1.69
2023-01-22 15:00:00,1.74,-38.39
2023-01-22 16:00:00,1.56,-8.47
2023-01-22 17:00:00,1.52,4.70
2023-01-22 18:00:00,1.50,-1.83
2023-01-22 19:00:00,1.53,0.00
2023-01-22 20:00:00,1.66,-9.72
2023-01-22 21:00:00,1.62,-19.39
2023-01-22 22:00:00,,1.66
2023-01-22 23:00:00,,1.67
2023-01-23 00:00:00,1.84,1.77
2023-01-23 01:00:00,1.61,-2.84
